Fecha,Hora,Sucursal,Producto,Precio,Unidades,Precio Total,Mes,Nombre_Mes,Año,Año_Mes
2022-01-06,12,Sucursal 2,Producto I,60,9,540,1,January,2022,2022-01
2022-01-06,20,Sucursal 3,Producto H,25,4,100,1,January,2022,2022-01
2022-01-06,14,Sucursal 5,Producto J,60,5,300,1,January,2022,2022-01
2022-01-06,13,Sucursal 2,Producto A,20,1,20,1,January,2022,2022-01
2022-01-06,13,Sucursal 4,Producto I,60,3,180,1,January,2022,2022-01
2022-01-06,18,Sucursal 4,Producto B,25,9,225,1,January,2022,2022-01
2022-01-06,12,Sucursal 4,Producto B,25,6,150,1,January,2022,2022-01
2022-01-06,12,Sucursal 3,Producto G,20,3,60,1,January,2022,2022-01
2022-01-06,13,Sucursal 4,Producto D,35,8,280,1,January,2022,2022-01
2022-01-07,20,Sucursal 1,Producto F,40,4,160,1,January,2022,2022-01
2022-01-07,14,Sucursal 1,Producto H,25,6,150,1,January,2022,2022-01
2022-01-07,15,Sucursal 5,Producto B,25,6,150,1,January,2022,2022-01
2022-01-07,13,Sucursal 4,Producto D,35,4,140,1,January,2022,2022-01
2022-01-07,18,Sucursal 1,Producto C,30,7,210,1,January,2022,2022-01
2022-01-07,15,Sucursal 4,Producto A,20,3,60,1,January,2022,2022-01
2022-01-07,14,Sucursal 4,Producto D,35,2,70,1,January,2022,2022-01
2022-01-07,20,Sucursal 3,Producto J,60,6,360,1,January,2022,2022-01
2022-01-07,13,Sucursal 1,Producto J,60,5,300,1,January,2022,2022-01
2022-01-07,12,Sucursal 1,Producto F,40,1,40,1,January,2022,2022-01
2022-01-07,12,Sucursal 2,Producto C,30,5,150,1,January,2022,2022-01
2022-01-08,20,Sucursal 5,Producto B,25,2,50,1,January,2022,2022-01
2022-01-08,12,Sucursal 3,Producto D,35,6,210,1,January,2022,2022-01
2022-01-08,16,Sucursal 4,Producto A,20,3,60,1,January,2022,2022-01
2022-01-08,14,Sucursal 5,Producto F,40,8,320,1,January,2022,2022-01
2022-01-08,16,Sucursal 2,Producto H,25,4,100,1,January,2022,2022-01
2022-01-08,14,Sucursal 4,Producto E,40,9,360,1,January,2022,2022-01
2022-01-08,20,Sucursal 1,Producto A,20,1,20,1,January,2022,2022-01
2022-01-08,15,Sucursal 1,Producto B,25,6,150,1,January,2022,2022-01
2022-01-08,15,Sucursal 5,Producto D,35,1,35,1,January,2022,2022-01
2022-01-08,15,Sucursal 2,Producto E,40,2,80,1,January,2022,2022-01
2022-01-08,17,Sucursal 5,Producto G,20,3,60,1,January,2022,2022-01
2022-01-08,17,Sucursal 2,Producto B,25,9,225,1,January,2022,2022-01
2022-01-08,20,Sucursal 3,Producto I,60,8,480,1,January,2022,2022-01
2022-01-08,18,Sucursal 4,Producto B,25,2,50,1,January,2022,2022-01
2022-01-08,17,Sucursal 3,Producto E,40,7,280,1,January,2022,2022-01
2022-01-08,14,Sucursal 4,Producto B,25,8,200,1,January,2022,2022-01
2022-01-08,12,Sucursal 4,Producto A,20,3,60,1,January,2022,2022-01
2022-01-08,14,Sucursal 2,Producto E,40,9,360,1,January,2022,2022-01
2022-01-08,12,Sucursal 4,Producto D,35,7,245,1,January,2022,2022-01
2022-01-08,13,Sucursal 4,Producto F,40,6,240,1,January,2022,2022-01
2022-01-08,17,Sucursal 3,Producto C,30,8,240,1,January,2022,2022-01
2022-01-09,14,Sucursal 3,Producto H,25,9,225,1,January,2022,2022-01
2022-01-09,13,Sucursal 4,Producto C,30,9,270,1,January,2022,2022-01
2022-01-09,14,Sucursal 5,Producto E,40,2,80,1,January,2022,2022-01
2022-01-09,17,Sucursal 2,Producto I,60,9,540,1,January,2022,2022-01
2022-01-09,19,Sucursal 4,Producto D,35,5,175,1,January,2022,2022-01
2022-01-09,17,Sucursal 4,Producto C,30,6,180,1,January,2022,2022-01
2022-01-09,14,Sucursal 5,Producto C,30,1,30,1,January,2022,2022-01
2022-01-09,16,Sucursal 4,Producto H,25,8,200,1,January,2022,2022-01
2022-01-09,15,Sucursal 2,Producto C,30,9,270,1,January,2022,2022-01
2022-01-09,13,Sucursal 3,Producto I,60,6,360,1,January,2022,2022-01
2022-01-09,19,Sucursal 3,Producto I,60,9,540,1,January,2022,2022-01
2022-01-09,19,Sucursal 3,Producto C,30,8,240,1,January,2022,2022-01
2022-01-09,15,Sucursal 3,Producto B,25,9,225,1,January,2022,2022-01
2022-01-09,18,Sucursal 5,Producto C,30,9,270,1,January,2022,2022-01
2022-01-10,13,Sucursal 2,Producto J,60,5,300,1,January,2022,2022-01
2022-01-10,20,Sucursal 1,Producto E,40,9,360,1,January,2022,2022-01
2022-01-10,17,Sucursal 2,Producto D,35,3,105,1,January,2022,2022-01
2022-01-10,20,Sucursal 4,Producto C,30,2,60,1,January,2022,2022-01
2022-01-10,12,Sucursal 3,Producto F,40,6,240,1,January,2022,2022-01
2022-01-10,14,Sucursal 5,Producto B,25,6,150,1,January,2022,2022-01
2022-01-10,19,Sucursal 5,Producto J,60,2,120,1,January,2022,2022-01
2022-01-10,16,Sucursal 5,Producto B,25,3,75,1,January,2022,2022-01
2022-01-10,15,Sucursal 5,Producto A,20,9,180,1,January,2022,2022-01
2022-01-10,19,Sucursal 4,Producto E,40,2,80,1,January,2022,2022-01
2022-01-10,17,Sucursal 5,Producto H,25,6,150,1,January,2022,2022-01
2022-01-10,19,Sucursal 3,Producto D,35,4,140,1,January,2022,2022-01
2022-01-10,14,Sucursal 5,Producto A,20,8,160,1,January,2022,2022-01
2022-01-10,15,Sucursal 4,Producto D,35,2,70,1,January,2022,2022-01
2022-01-10,16,Sucursal 2,Producto F,40,9,360,1,January,2022,2022-01
2022-01-10,16,Sucursal 5,Producto F,40,4,160,1,January,2022,2022-01
2022-01-10,16,Sucursal 3,Producto C,30,7,210,1,January,2022,2022-01
2022-01-11,16,Sucursal 3,Producto E,40,3,120,1,January,2022,2022-01
2022-01-11,18,Sucursal 4,Producto C,30,2,60,1,January,2022,2022-01
2022-01-11,13,Sucursal 3,Producto E,40,9,360,1,January,2022,2022-01
2022-01-11,15,Sucursal 4,Producto F,40,7,280,1,January,2022,2022-01
2022-01-11,18,Sucursal 1,Producto G,20,3,60,1,January,2022,2022-01
2022-01-11,17,Sucursal 1,Producto H,25,6,150,1,January,2022,2022-01
2022-01-11,17,Sucursal 3,Producto F,40,6,240,1,January,2022,2022-01
2022-01-11,16,Sucursal 3,Producto H,25,6,150,1,January,2022,2022-01
2022-01-11,19,Sucursal 5,Producto C,30,5,150,1,January,2022,2022-01
2022-01-11,17,Sucursal 4,Producto F,40,5,200,1,January,2022,2022-01
2022-01-11,13,Sucursal 2,Producto F,40,1,40,1,January,2022,2022-01
2022-01-11,15,Sucursal 1,Producto C,30,3,90,1,January,2022,2022-01
2022-01-12,13,Sucursal 5,Producto E,40,2,80,1,January,2022,2022-01
2022-01-12,12,Sucursal 4,Producto F,40,8,320,1,January,2022,2022-01
2022-01-12,18,Sucursal 1,Producto C,30,3,90,1,January,2022,2022-01
2022-01-12,12,Sucursal 3,Producto G,20,8,160,1,January,2022,2022-01
2022-01-12,20,Sucursal 5,Producto G,20,1,20,1,January,2022,2022-01
2022-01-12,13,Sucursal 4,Producto I,60,7,420,1,January,2022,2022-01
2022-01-12,14,Sucursal 5,Producto A,20,5,100,1,January,2022,2022-01
2022-01-12,16,Sucursal 4,Producto F,40,8,320,1,January,2022,2022-01
2022-01-12,17,Sucursal 4,Producto G,20,2,40,1,January,2022,2022-01
2022-01-12,14,Sucursal 4,Producto G,20,4,80,1,January,2022,2022-01
2022-01-12,17,Sucursal 1,Producto I,60,8,480,1,January,2022,2022-01
2022-01-12,19,Sucursal 3,Producto B,25,5,125,1,January,2022,2022-01
2022-01-12,16,Sucursal 4,Producto E,40,1,40,1,January,2022,2022-01
2022-01-13,19,Sucursal 4,Producto F,40,7,280,1,January,2022,2022-01
2022-01-13,13,Sucursal 2,Producto E,40,8,320,1,January,2022,2022-01
2022-01-13,13,Sucursal 3,Producto E,40,2,80,1,January,2022,2022-01
2022-01-13,19,Sucursal 5,Producto D,35,9,315,1,January,2022,2022-01
2022-01-13,17,Sucursal 3,Producto B,25,9,225,1,January,2022,2022-01
2022-01-13,15,Sucursal 4,Producto C,30,7,210,1,January,2022,2022-01
2022-01-13,19,Sucursal 5,Producto I,60,4,240,1,January,2022,2022-01
2022-01-13,13,Sucursal 4,Producto C,30,8,240,1,January,2022,2022-01
2022-01-13,17,Sucursal 4,Producto C,30,3,90,1,January,2022,2022-01
2022-01-14,14,Sucursal 3,Producto D,35,7,245,1,January,2022,2022-01
2022-01-14,17,Sucursal 3,Producto G,20,4,80,1,January,2022,2022-01
2022-01-14,16,Sucursal 5,Producto H,25,8,200,1,January,2022,2022-01
2022-01-14,13,Sucursal 5,Producto D,35,1,35,1,January,2022,2022-01
2022-01-14,19,Sucursal 2,Producto F,40,8,320,1,January,2022,2022-01
2022-01-14,12,Sucursal 4,Producto A,20,8,160,1,January,2022,2022-01
2022-01-14,15,Sucursal 3,Producto F,40,7,280,1,January,2022,2022-01
2022-01-14,19,Sucursal 2,Producto D,35,1,35,1,January,2022,2022-01
2022-01-14,12,Sucursal 4,Producto C,30,9,270,1,January,2022,2022-01
2022-01-14,12,Sucursal 3,Producto A,20,3,60,1,January,2022,2022-01
2022-01-14,18,Sucursal 5,Producto A,20,6,120,1,January,2022,2022-01
2022-01-14,13,Sucursal 2,Producto E,40,6,240,1,January,2022,2022-01
2022-01-14,12,Sucursal 4,Producto C,30,3,90,1,January,2022,2022-01
2022-01-15,17,Sucursal 3,Producto B,25,2,50,1,January,2022,2022-01
2022-01-15,18,Sucursal 2,Producto D,35,9,315,1,January,2022,2022-01
2022-01-15,20,Sucursal 2,Producto D,35,4,140,1,January,2022,2022-01
2022-01-15,13,Sucursal 3,Producto J,60,7,420,1,January,2022,2022-01
2022-01-15,14,Sucursal 5,Producto E,40,4,160,1,January,2022,2022-01
2022-01-15,13,Sucursal 5,Producto B,25,1,25,1,January,2022,2022-01
2022-01-15,15,Sucursal 1,Producto A,20,3,60,1,January,2022,2022-01
2022-01-15,16,Sucursal 5,Producto E,40,5,200,1,January,2022,2022-01
2022-01-15,18,Sucursal 2,Producto H,25,1,25,1,January,2022,2022-01
2022-01-15,17,Sucursal 1,Producto H,25,8,200,1,January,2022,2022-01
2022-01-15,13,Sucursal 4,Producto A,20,4,80,1,January,2022,2022-01
2022-01-15,16,Sucursal 3,Producto D,35,2,70,1,January,2022,2022-01
2022-01-15,12,Sucursal 5,Producto H,25,3,75,1,January,2022,2022-01
2022-01-15,16,Sucursal 4,Producto A,20,1,20,1,January,2022,2022-01
2022-01-15,12,Sucursal 3,Producto G,20,2,40,1,January,2022,2022-01
2022-01-15,17,Sucursal 2,Producto F,40,8,320,1,January,2022,2022-01
2022-01-16,17,Sucursal 3,Producto I,60,8,480,1,January,2022,2022-01
2022-01-16,15,Sucursal 4,Producto A,20,8,160,1,January,2022,2022-01
2022-01-16,15,Sucursal 4,Producto F,40,8,320,1,January,2022,2022-01
2022-01-16,15,Sucursal 4,Producto J,60,2,120,1,January,2022,2022-01
2022-01-16,15,Sucursal 5,Producto B,25,7,175,1,January,2022,2022-01
2022-01-16,19,Sucursal 3,Producto B,25,7,175,1,January,2022,2022-01
2022-01-16,20,Sucursal 1,Producto I,60,4,240,1,January,2022,2022-01
2022-01-16,16,Sucursal 2,Producto I,60,1,60,1,January,2022,2022-01
2022-01-16,18,Sucursal 1,Producto J,60,6,360,1,January,2022,2022-01
2022-01-16,17,Sucursal 3,Producto E,40,7,280,1,January,2022,2022-01
2022-01-16,15,Sucursal 5,Producto F,40,1,40,1,January,2022,2022-01
2022-01-16,12,Sucursal 5,Producto G,20,4,80,1,January,2022,2022-01
2022-01-17,18,Sucursal 5,Producto I,60,5,300,1,January,2022,2022-01
2022-01-17,12,Sucursal 1,Producto J,60,7,420,1,January,2022,2022-01
2022-01-17,19,Sucursal 4,Producto J,60,2,120,1,January,2022,2022-01
2022-01-17,14,Sucursal 4,Producto C,30,7,210,1,January,2022,2022-01
2022-01-17,13,Sucursal 4,Producto B,25,5,125,1,January,2022,2022-01
2022-01-17,15,Sucursal 1,Producto I,60,8,480,1,January,2022,2022-01
2022-01-17,16,Sucursal 2,Producto B,25,2,50,1,January,2022,2022-01
2022-01-17,19,Sucursal 5,Producto J,60,9,540,1,January,2022,2022-01
2022-01-17,15,Sucursal 4,Producto E,40,6,240,1,January,2022,2022-01
2022-01-17,17,Sucursal 3,Producto H,25,3,75,1,January,2022,2022-01
2022-01-17,15,Sucursal 2,Producto G,20,6,120,1,January,2022,2022-01
2022-01-17,17,Sucursal 2,Producto C,30,4,120,1,January,2022,2022-01
2022-01-17,18,Sucursal 3,Producto E,40,1,40,1,January,2022,2022-01
2022-01-18,18,Sucursal 1,Producto I,60,8,480,1,January,2022,2022-01
2022-01-18,18,Sucursal 3,Producto B,25,6,150,1,January,2022,2022-01
2022-01-18,13,Sucursal 1,Producto B,25,8,200,1,January,2022,2022-01
2022-01-18,16,Sucursal 4,Producto G,20,8,160,1,January,2022,2022-01
2022-01-18,20,Sucursal 3,Producto A,20,9,180,1,January,2022,2022-01
2022-01-18,12,Sucursal 4,Producto B,25,4,100,1,January,2022,2022-01
2022-01-18,19,Sucursal 5,Producto H,25,1,25,1,January,2022,2022-01
2022-01-18,20,Sucursal 3,Producto G,20,8,160,1,January,2022,2022-01
2022-01-18,12,Sucursal 4,Producto A,20,5,100,1,January,2022,2022-01
2022-01-18,16,Sucursal 3,Producto A,20,6,120,1,January,2022,2022-01
2022-01-18,20,Sucursal 1,Producto A,20,4,80,1,January,2022,2022-01
2022-01-18,15,Sucursal 2,Producto D,35,3,105,1,January,2022,2022-01
2022-01-18,15,Sucursal 2,Producto F,40,7,280,1,January,2022,2022-01
2022-01-19,15,Sucursal 1,Producto G,20,2,40,1,January,2022,2022-01
2022-01-19,18,Sucursal 1,Producto E,40,3,120,1,January,2022,2022-01
2022-01-19,15,Sucursal 2,Producto I,60,6,360,1,January,2022,2022-01
2022-01-19,17,Sucursal 4,Producto I,60,6,360,1,January,2022,2022-01
2022-01-19,12,Sucursal 5,Producto E,40,1,40,1,January,2022,2022-01
2022-01-19,19,Sucursal 1,Producto H,25,4,100,1,January,2022,2022-01
2022-01-19,20,Sucursal 4,Producto A,20,5,100,1,January,2022,2022-01
2022-01-19,12,Sucursal 1,Producto H,25,5,125,1,January,2022,2022-01
2022-01-19,12,Sucursal 2,Producto G,20,2,40,1,January,2022,2022-01
2022-01-19,13,Sucursal 3,Producto D,35,2,70,1,January,2022,2022-01
2022-01-19,13,Sucursal 2,Producto F,40,9,360,1,January,2022,2022-01
2022-01-19,19,Sucursal 2,Producto B,25,1,25,1,January,2022,2022-01
2022-01-19,14,Sucursal 3,Producto H,25,3,75,1,January,2022,2022-01
2022-01-19,18,Sucursal 3,Producto D,35,1,35,1,January,2022,2022-01
2022-01-19,12,Sucursal 3,Producto J,60,1,60,1,January,2022,2022-01
2022-01-19,17,Sucursal 1,Producto F,40,1,40,1,January,2022,2022-01
2022-01-19,12,Sucursal 4,Producto A,20,3,60,1,January,2022,2022-01
2022-01-20,19,Sucursal 3,Producto A,20,6,120,1,January,2022,2022-01
2022-01-20,16,Sucursal 4,Producto G,20,4,80,1,January,2022,2022-01
2022-01-20,15,Sucursal 2,Producto B,25,4,100,1,January,2022,2022-01
2022-01-20,12,Sucursal 1,Producto D,35,1,35,1,January,2022,2022-01
2022-01-20,13,Sucursal 5,Producto C,30,3,90,1,January,2022,2022-01
2022-01-20,15,Sucursal 3,Producto G,20,1,20,1,January,2022,2022-01
2022-01-20,12,Sucursal 2,Producto A,20,6,120,1,January,2022,2022-01
2022-01-20,20,Sucursal 4,Producto I,60,5,300,1,January,2022,2022-01
2022-01-20,13,Sucursal 2,Producto E,40,4,160,1,January,2022,2022-01
2022-01-20,13,Sucursal 1,Producto E,40,5,200,1,January,2022,2022-01
2022-01-20,12,Sucursal 5,Producto I,60,8,480,1,January,2022,2022-01
2022-01-20,12,Sucursal 3,Producto I,60,2,120,1,January,2022,2022-01
2022-01-20,15,Sucursal 2,Producto G,20,3,60,1,January,2022,2022-01
2022-01-20,18,Sucursal 4,Producto G,20,5,100,1,January,2022,2022-01
2022-01-20,15,Sucursal 5,Producto D,35,1,35,1,January,2022,2022-01
2022-01-20,18,Sucursal 5,Producto F,40,9,360,1,January,2022,2022-01
2022-01-20,12,Sucursal 2,Producto D,35,1,35,1,January,2022,2022-01
2022-01-21,19,Sucursal 5,Producto F,40,3,120,1,January,2022,2022-01
2022-01-21,17,Sucursal 5,Producto J,60,2,120,1,January,2022,2022-01
2022-01-21,19,Sucursal 5,Producto J,60,5,300,1,January,2022,2022-01
2022-01-21,14,Sucursal 1,Producto I,60,6,360,1,January,2022,2022-01
2022-01-21,15,Sucursal 5,Producto J,60,5,300,1,January,2022,2022-01
2022-01-21,16,Sucursal 1,Producto F,40,3,120,1,January,2022,2022-01
2022-01-21,18,Sucursal 3,Producto G,20,3,60,1,January,2022,2022-01
2022-01-21,12,Sucursal 2,Producto C,30,7,210,1,January,2022,2022-01
2022-01-21,19,Sucursal 3,Producto A,20,5,100,1,January,2022,2022-01
2022-01-22,17,Sucursal 2,Producto J,60,2,120,1,January,2022,2022-01
2022-01-22,20,Sucursal 1,Producto I,60,2,120,1,January,2022,2022-01
2022-01-22,15,Sucursal 1,Producto A,20,6,120,1,January,2022,2022-01
2022-01-22,13,Sucursal 1,Producto H,25,5,125,1,January,2022,2022-01
2022-01-22,14,Sucursal 1,Producto H,25,5,125,1,January,2022,2022-01
2022-01-22,19,Sucursal 3,Producto F,40,8,320,1,January,2022,2022-01
2022-01-23,12,Sucursal 1,Producto D,35,4,140,1,January,2022,2022-01
2022-01-23,14,Sucursal 1,Producto B,25,1,25,1,January,2022,2022-01
2022-01-23,12,Sucursal 5,Producto J,60,3,180,1,January,2022,2022-01
2022-01-23,12,Sucursal 5,Producto H,25,9,225,1,January,2022,2022-01
2022-01-23,19,Sucursal 1,Producto G,20,7,140,1,January,2022,2022-01
2022-01-23,17,Sucursal 1,Producto I,60,9,540,1,January,2022,2022-01
2022-01-23,13,Sucursal 5,Producto F,40,8,320,1,January,2022,2022-01
2022-01-23,18,Sucursal 1,Producto C,30,6,180,1,January,2022,2022-01
2022-01-24,17,Sucursal 1,Producto G,20,5,100,1,January,2022,2022-01
2022-01-24,12,Sucursal 1,Producto F,40,7,280,1,January,2022,2022-01
2022-01-24,19,Sucursal 3,Producto F,40,5,200,1,January,2022,2022-01
2022-01-24,15,Sucursal 5,Producto D,35,7,245,1,January,2022,2022-01
2022-01-24,18,Sucursal 3,Producto A,20,6,120,1,January,2022,2022-01
2022-01-24,18,Sucursal 3,Producto J,60,2,120,1,January,2022,2022-01
2022-01-24,20,Sucursal 4,Producto D,35,1,35,1,January,2022,2022-01
2022-01-24,18,Sucursal 1,Producto J,60,2,120,1,January,2022,2022-01
2022-01-24,16,Sucursal 2,Producto B,25,2,50,1,January,2022,2022-01
2022-01-24,19,Sucursal 3,Producto C,30,1,30,1,January,2022,2022-01
2022-01-24,20,Sucursal 1,Producto E,40,3,120,1,January,2022,2022-01
2022-01-24,13,Sucursal 3,Producto H,25,1,25,1,January,2022,2022-01
2022-01-24,17,Sucursal 5,Producto F,40,6,240,1,January,2022,2022-01
2022-01-24,18,Sucursal 1,Producto G,20,4,80,1,January,2022,2022-01
2022-01-24,18,Sucursal 5,Producto C,30,1,30,1,January,2022,2022-01
2022-01-24,15,Sucursal 5,Producto F,40,2,80,1,January,2022,2022-01
2022-01-25,13,Sucursal 3,Producto J,60,7,420,1,January,2022,2022-01
2022-01-25,17,Sucursal 5,Producto G,20,5,100,1,January,2022,2022-01
2022-01-25,13,Sucursal 5,Producto B,25,5,125,1,January,2022,2022-01
2022-01-25,14,Sucursal 4,Producto C,30,1,30,1,January,2022,2022-01
2022-01-25,12,Sucursal 3,Producto B,25,4,100,1,January,2022,2022-01
2022-01-25,18,Sucursal 2,Producto A,20,1,20,1,January,2022,2022-01
2022-01-25,20,Sucursal 2,Producto H,25,8,200,1,January,2022,2022-01
2022-01-25,15,Sucursal 2,Producto F,40,8,320,1,January,2022,2022-01
2022-01-25,14,Sucursal 4,Producto C,30,5,150,1,January,2022,2022-01
2022-01-25,18,Sucursal 5,Producto B,25,6,150,1,January,2022,2022-01
2022-01-26,17,Sucursal 3,Producto J,60,9,540,1,January,2022,2022-01
2022-01-26,16,Sucursal 2,Producto F,40,3,120,1,January,2022,2022-01
2022-01-26,14,Sucursal 5,Producto C,30,1,30,1,January,2022,2022-01
2022-01-26,20,Sucursal 4,Producto I,60,3,180,1,January,2022,2022-01
2022-01-26,20,Sucursal 5,Producto E,40,7,280,1,January,2022,2022-01
2022-01-26,12,Sucursal 3,Producto D,35,7,245,1,January,2022,2022-01
2022-01-26,16,Sucursal 3,Producto F,40,1,40,1,January,2022,2022-01
2022-01-26,20,Sucursal 1,Producto D,35,6,210,1,January,2022,2022-01
2022-01-26,20,Sucursal 3,Producto C,30,1,30,1,January,2022,2022-01
2022-01-26,19,Sucursal 5,Producto E,40,3,120,1,January,2022,2022-01
2022-01-26,15,Sucursal 4,Producto A,20,1,20,1,January,2022,2022-01
2022-01-26,15,Sucursal 1,Producto E,40,6,240,1,January,2022,2022-01
2022-01-26,20,Sucursal 3,Producto B,25,1,25,1,January,2022,2022-01
2022-01-26,17,Sucursal 2,Producto I,60,1,60,1,January,2022,2022-01
2022-01-26,19,Sucursal 3,Producto G,20,2,40,1,January,2022,2022-01
2022-01-26,19,Sucursal 5,Producto J,60,9,540,1,January,2022,2022-01
2022-01-27,15,Sucursal 3,Producto J,60,2,120,1,January,2022,2022-01
2022-01-27,14,Sucursal 4,Producto F,40,5,200,1,January,2022,2022-01
2022-01-27,12,Sucursal 5,Producto D,35,9,315,1,January,2022,2022-01
2022-01-27,18,Sucursal 4,Producto D,35,2,70,1,January,2022,2022-01
2022-01-27,17,Sucursal 1,Producto E,40,4,160,1,January,2022,2022-01
2022-01-27,17,Sucursal 4,Producto G,20,3,60,1,January,2022,2022-01
2022-01-27,20,Sucursal 5,Producto H,25,5,125,1,January,2022,2022-01
2022-01-27,12,Sucursal 2,Producto C,30,2,60,1,January,2022,2022-01
2022-01-27,14,Sucursal 1,Producto I,60,1,60,1,January,2022,2022-01
2022-01-27,14,Sucursal 3,Producto J,60,1,60,1,January,2022,2022-01
2022-01-27,14,Sucursal 5,Producto E,40,2,80,1,January,2022,2022-01
2022-01-27,16,Sucursal 2,Producto H,25,7,175,1,January,2022,2022-01
2022-01-28,14,Sucursal 3,Producto G,20,1,20,1,January,2022,2022-01
2022-01-28,18,Sucursal 2,Producto E,40,3,120,1,January,2022,2022-01
2022-01-28,16,Sucursal 2,Producto H,25,2,50,1,January,2022,2022-01
2022-01-28,20,Sucursal 4,Producto B,25,2,50,1,January,2022,2022-01
2022-01-28,13,Sucursal 2,Producto A,20,8,160,1,January,2022,2022-01
2022-01-28,15,Sucursal 3,Producto C,30,6,180,1,January,2022,2022-01
